TransAnimCode,TransCode,AnimalID,MalCode,MalDesc,SppCode_OLD,SppCode,Updated_Spp,MalNumber
Barn_20130701_FT01-1,Barn_20130701_FT01,1,ELHL,,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-2,Barn_20130701_FT01,2,BT,,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-2,Barn_20130701_FT01,2,ELHL,,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-3,Barn_20130701_FT01,3,ELHL,,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-4,Barn_20130701_FT01,4,ERHL,,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-4,Barn_20130701_FT01,4,SW,,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-5,Barn_20130701_FT01,5,ERHL,3 of these,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-5,Barn_20130701_FT01,5,sw,,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-6,Barn_20130701_FT01,6,bt,3 of these,PSRE,PSRE,TRUE,1
Barn_20130701_FT01-6,Barn_20130701_FT01,6,ERHL,,PSRE,PSRE,TRUE,1
Barn_20130701_FT03-1,Barn_20130701_FT03,1,ERHL,,PSRE,PSRE,TRUE,1
Barn_20130701_FT03-2,Barn_20130701_FT03,2,ELHL,,PSRE,PSRE,TRUE,1
Barn_20130701_FT03-4,Barn_20130701_FT03,4,ERHL,,PSRE,PSRE,TRUE,1
Barn_20160718_FT01-1,Barn_20160718_FT01,1,RDRFL,Brachymelia,,PSRE,TRUE,1
Barn_20160718_FT01-1,Barn_20160718_FT01,1,ERHF,Polypodia,,PSRE,TRUE,1
Barn_20160718_FT01-2,Barn_20160718_FT01,1,HYRHL,Genicular hyperextension,,PSRE,TRUE,2
Barn_20160718_FT02-1,Barn_20160718_FT02,1,ERHL,Polymelia,,BUBO,TRUE,1
Barn_20140714_FT02-2,Barn_20140714_FT02,2,ELHL,Polymelia,,PSRE,TRUE,1
Barn_20140714_FT02-2,Barn_20140714_FT02,2,ELHF,Polypodia,,PSRE,TRUE,2
Barn_20140714_FT02-3,Barn_20140714_FT02,3,ERHL,Polymelia,,PSRE,TRUE,1
Barn_20140714_FT02-3,Barn_20140714_FT02,3,BTRHL,Taumelia,,PSRE,TRUE,2
Barn_20140714_FT02-3,Barn_20140714_FT02,3,BPLHL,Ossified projection,,PSRE,TRUE,3
Barn_20140714_FT02-4,Barn_20140714_FT02,4,MLE,Anopthalmia,,PSRE,TRUE,1
Barn_20140714_FT02-1,Barn_20140714_FT02,5,ELHL,Polymelia,,PSRE,TRUE,1
Barn_20140714_FT02-1,Barn_20140714_FT02,5,FPRHL,Femoral projection,,PSRE,TRUE,2
Barn_20140714_FT05-1,Barn_20140714_FT05,1,MRHL,Ectromelia,,PSRE,TRUE,1
Barn_20140714_FT05-1,Barn_20140714_FT05,1,ERHL,Polymelia,,PSRE,TRUE,3
Barn_20140714_FT05-2,Barn_20140714_FT05,2,ELHL,Polymelia,,PSRE,TRUE,1
Barn_20140714_FT05-3,Barn_20140714_FT05,3,ERHL,Polymelia,,PSRE,TRUE,2
BLA01_20160818_FT02 (?),BDPND015_TN3BDPND015_TN,2,ALBINO,Albinism,,RACA,TRUE,1
BNPND002_20160719_FT01-1,BDPND015_TN3BDPND015_TN,5,ALBINO,Albinism,,RANA,TRUE,1
BNPND002_20160719_FT01-1,Big_20100712_FT03,1,MJAW,severe underbite,BUBO,BUBO,TRUE,1
BLA01_20160818_FT02 (?),BLA01_20160818_FT02 (,1,MLFF,Apodia,,PSRE,TRUE,1
BNPND002_20160719_FT01-1,BNPND002_20090702_FT03,1,MRHF,missing right hint foot,PSRE,PSRE,TRUE,1
BNPND002_20160719_FT01-1,BNPND002_20100713_FT01,1,MRHD,missing 3 toes on R foot,PSRE,PSRE,TRUE,1
BNPND002_20160719_FT01-1,BNPND002_20100713_FT01,2,MRHL,missing most of R leg,PSRE,PSRE,TRUE,1
BNPND002_20160719_FT01-2,BNPND002_20130710_FT01,1,MLHL,,PSRE,PSRE,TRUE,1
BNPND002_20160719_FT01-2,BNPND002_20130710_FT03,1,MLHF,,PSRE,PSRE,TRUE,1
BNPND002_20160719_FT01-2,BNPND002_20130710_FT03,2,MRHL,,PSRE,PSRE,TRUE,1
BNPND002_20160719_FT01-1,BNPND002_20160719_FT01,1,ELHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-1,BNPND002_20160719_FT01,1,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-1,BNPND002_20160719_FT01,1,ERHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-1,BNPND002_20160719_FT01,1,BTRHL,Taumelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-1,BNPND002_20160719_FT01,1,BTRHL,Taumelia,,PSRE,TRUE,3
BNPND002_20160719_FT01-1,BNPND002_20160719_FT01,1,ERHF,Polypodia,,PSRE,TRUE,3
BNPND002_20160719_FT01-2,BNPND002_20160719_FT01,10,ELHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-2,BNPND002_20160719_FT01,10,ELHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-2,BNPND002_20160719_FT01,10,ERHL,Polymelia,,PSRE,TRUE,3
BNPND002_20160719_FT01-3,BNPND002_20160719_FT01,11,BTLHL,Taumelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-4,BNPND002_20160719_FT01,12,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-4,BNPND002_20160719_FT01,12,ELHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-5,BNPND002_20160719_FT01,13,BPRHL,Ossified projection,,PSRE,TRUE,1
BNPND002_20160719_FT01-6,BNPND002_20160719_FT01,14,ERHF,Polypodia,,PSRE,TRUE,1
BNPND002_20160719_FT01-7,BNPND002_20160719_FT01,15,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-7,BNPND002_20160719_FT01,15,ERHF,Polypodia,,PSRE,TRUE,2
BNPND002_20160719_FT01-8,BNPND002_20160719_FT01,17,SWRHL,Cutaneous fusion,,PSRE,TRUE,1
BNPND002_20160719_FT01-8,BNPND002_20160719_FT01,17,ERHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-8,BNPND002_20160719_FT01,17,BPRHL,Ossified projection,,PSRE,TRUE,3
BNPND002_20160719_FT01-8,BNPND002_20160719_FT01,17,ERHL,Polymelia,,PSRE,TRUE,4
BNPND002_20160719_FT01-9,BNPND002_20160719_FT01,2,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-9,BNPND002_20160719_FT01,2,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-9,BNPND002_20160719_FT01,2,ERHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-9,BNPND002_20160719_FT01,2,BTRHL,Taumelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-9,BNPND002_20160719_FT01,2,BPLHL,Ossified projection,,PSRE,TRUE,3
BNPND002_20160719_FT01-9,BNPND002_20160719_FT01,2,ERHL,Polymelia,,PSRE,TRUE,3
BNPND002_20160719_FT01-10,BNPND002_20160719_FT01,3,ELHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-10,BNPND002_20160719_FT01,3,BPRHL,Ossified projection,,PSRE,TRUE,2
BNPND002_20160719_FT01-10,BNPND002_20160719_FT01,3,SWRHL,Cutaneous fusion,,PSRE,TRUE,3
BNPND002_20160719_FT01-11,BNPND002_20160719_FT01,11,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-11,BNPND002_20160719_FT01,4,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-11,BNPND002_20160719_FT01,4,ERHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-11,BNPND002_20160719_FT01,4,ERHF,Polypodia,,PSRE,TRUE,2
BNPND002_20160719_FT01-12,BNPND002_20160719_FT01,12,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-12,BNPND002_20160719_FT01,12,ELHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-12,BNPND002_20160719_FT01,12,BTLHL,Taumelia,,PSRE,TRUE,3
BNPND002_20160719_FT01-12,BNPND002_20160719_FT01,12,ELHF,Polypodia,,PSRE,TRUE,4
BNPND002_20160719_FT01-13,BNPND002_20160719_FT01,13,BTLHL,Taumelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-13,BNPND002_20160719_FT01,13,BTLHL,Taumelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-13,BNPND002_20160719_FT01,13,SWLHL,Cutaneous fusion,,PSRE,TRUE,3
BNPND002_20160719_FT01-14,BNPND002_20160719_FT01,14,ELHL,Polymelia,,PSRE,TRUE,1
BNPND002_20160719_FT01-14,BNPND002_20160719_FT01,14,ERHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-15,BNPND002_20160719_FT01,15,ERHF,Polypodia,,PSRE,TRUE,1
BNPND002_20160719_FT01-15,BNPND002_20160719_FT01,15,ELHL,Polymelia,,PSRE,TRUE,2
BNPND002_20160719_FT01-16,BNPND002_20160719_FT01,16,SWRHL,Cutaneous fusion,,PSRE,TRUE,2
BNPND002_20140708_FT02-6,BNPND002_TN2BNPND002_TN,,SWRHL,Cutaneous fusion,,PSRE,TRUE,1
BNPND002_20140708_FT02-1,BNPND002_20140708_FT02,1,KT,Kinked tail,,PSRE,TRUE,1
BNPND002_20140708_FT02-1,BNPND002_20140708_FT02,1,BPRHL,Ossified projection,,PSRE,TRUE,1
BNPND002_20140708_FT02-1,BNPND002_20140708_FT02,1,SWRHL,Cutaneous fusion,,PSRE,TRUE,2
BNPND002_20140708_FT02-2,BNPND002_20140708_FT02,10,BPRHL,Ossified projection,,PSRE,TRUE,1
BNPND002_20140708_FT02-3,BNPND002_20140708_FT02,11,MLHL,Ectromelia,,PSRE,TRUE,1
BNPND002_20140708_FT02-4,BNPND002_20140708_FT02,12,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20140708_FT02-4,BNPND002_20140708_FT02,12,ERHL,Polymelia,,PSRE,TRUE,2
BNPND002_20140708_FT02-5,BNPND002_20140708_FT02,13,BPRHL,Ossified projection,,PSRE,TRUE,1
BNPND002_20140708_FT02-5,BNPND002_20140708_FT02,13,RDRHF,Brachypodia,,PSRE,TRUE,2
BNPND002_20140708_FT02-6,BNPND002_20140708_FT02,2,ELHF,Polypodia,,PSRE,TRUE,1
BNPND002_20140708_FT02-6,BNPND002_20140708_FT02,2,RDRHF,Brachypodia,,PSRE,TRUE,1
BNPND002_20140708_FT02-6,BNPND002_20140708_FT02,2,BTLHL,Taumelia,,PSRE,TRUE,2
BNPND002_20140708_FT02-6,BNPND002_20140708_FT02,2,BPRHL,Ossified projection,,PSRE,TRUE,3
BNPND002_20140708_FT02-7,BNPND002_20140708_FT02,3,ERHF,Polypodia,,PSRE,TRUE,1
BNPND002_20140708_FT03-3,BNPND002_20140708_FT03,7,SWLHL,Cutaneous fusion,,PSRE,TRUE,1
BNPND002_20140708_FT03-2,BNPND002_20140708_FT03,8,BTLHL,Taumelia,,PSRE,TRUE,1
BNPND002_20140708_FT03-2,BNPND002_20140708_FT03,8,PHLHF,Phocomelia,,PSRE,TRUE,2
BNPND002_20140708_FT03-2,BNPND002_20140708_FT03,8,BPLHL,Ossified projection,,PSRE,TRUE,3
BNPND002_20140708_FT03-2,BNPND002_20140708_FT03,8,BPLHL,Ossified projection,,PSRE,TRUE,4
BNPND002_20140708_FT03-2,BNPND002_20140708_FT03,8,BPLHL,Ossified projection,,PSRE,TRUE,5
BNPND002_20140708_FT03-1,BNPND002_20140708_FT03,9,ELHL,Polymelia,,PSRE,TRUE,1
BNPND002_20140708_FT04-1,BNPND002_20140708_FT04,11,ERHL,Polymelia,,PSRE,TRUE,1
BNPND002_20140708_FT04-1,BNPND002_20140708_FT04,4,ERHF,Polypodia,,PSRE,TRUE,2
BNPND002_20140708_FT04-2,BNPND002_20140708_FT04,7,ELHL,Polymelia,,PSRE,TRUE,1
BNPND002_20140708_FT04-3,BNPND002_20140708_FT04,9,ELHL,Polymelia,,PSRE,TRUE,1
BNPND020_20140623_FT02-4,BNPND002_TN4BNPND002_TN,9,ELHF,Polypodia,,PSRE,TRUE,2
BNPND024_20140715_FT03-1,BNPND002_TN5BNPND002_TN,2,BPLHL,Ossified projection,,PSRE,TRUE,1
BNPND024_20140715_FT03-2,BNPND002_TN5BNPND002_TN,2,BPRHL,Ossified projection,,PSRE,TRUE,2
BNPND024_20140715_FT05-1,BNPND002_TN5BNPND002_TN,2,MRHF,Apodia,,PSRE,TRUE,3
BNPND024_20140715_FT05-2,BNPND002_TN5BNPND002_TN,3,BPLHL,Ossified projection,,PSRE,TRUE,1
CA-BN004_20140708_FT02-1,BNPND002_TN5BNPND002_TN,4,MLHF,Apodia,,PSRE,TRUE,1
CA-BN016_20140623_FT01-1,BNPND005_20110810_FT01,1,MRHF,trauma,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-1,BNPND011_20110810_FT02,1,MRHF,trauma,PSRE,PSRE,TRUE,1
BNPND011_20170731_FT01-1,BNPND011_20170731_FT01,2,MLHF,Apodia Left Hindlimbs,,PSRE,FALSE,1
CA-BN016_20140623_FT01-1,BNPND019_20130713_FT01,1,ELHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-2,BNPND019_20130713_FT01,2,BP,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-2,BNPND019_20130713_FT01,2,ERHF,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-3,BNPND019_20130713_FT01,2,ERHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-3,BNPND019_20130713_FT01,3,RLHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-3,BNPND019_20130713_FT02,1,ELHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-3,BNPND019_20130713_FT02,2,ERHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-4,BNPND019_20130713_FT02,3,MLHF,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-4,BNPND019_20130713_FT03,1,BTLHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-5,BNPND019_20130713_FT03,1,ERHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-5,BNPND019_20130713_FT04,1,ELHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-6,BNPND019_20130713_FT04,1,SW,SEVER,PSRE,PSRE,TRUE,1
BNPND019_20140623_FT01-1,BNPND019_20140623_FT01,1,MLHF,Apodia,,PSRE,TRUE,1
BNPND019_20140623_FT01-1,BNPND019_20140623_FT01,1,MLHF,Apodia,,PSRE,TRUE,2
BNPND019_20140623_FT01-3,BNPND019_20140623_FT01,2,MRHL,Ectromelia,,PSRE,TRUE,1
BNPND019_20140623_FT01-2,BNPND019_20140623_FT01,3,MLHF,Apodia,,PSRE,TRUE,1
BNPND019_20140623_FT01-1,BNPND019_20140623_FT01,1,MRHL,Ectromelia,,PSRE,TRUE,1
CA-BN016_20140623_FT02-1,BNPND020_20090723_FT02,1,MLFD,missing 4th metatarsal at knuckle on LFL,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT02-1,BNPND020_20130715_FT01,1,ERHF,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT02-1,BNPND020_20130715_FT01,1,SW,MODERATE,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT02-1,BNPND020_20130715_FT02,1,ELHL,,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT02-2,BNPND020_20130715_FT02,2,ERHL,,PSRE,PSRE,TRUE,1
BNPND020_20140623_FT01-1,BNPND020_20140623_FT01,1,MLHL,Ectromelia Left Hindlimbs,,PSRE,FALSE,1
BNPND020_20170621_FT01-1,BNPND020_20170621_FT01,5,PLHL,Hemimelia,,PSRE,TRUE,1
BNPND020_20140623_FT02-1,BNPND020_20140623_FT02,1,RDLJ,Mandibular micrognathia,,PSRE,TRUE,1
BNPND020_20140623_FT02-2,BNPND020_20140623_FT02,2,ERHF,Polypodia,,PSRE,TRUE,1
BNPND020_20140623_FT02-3,BNPND020_20140623_FT02,3,BPRHL,Ossified projection,,PSRE,TRUE,1
BNPND020_20140623_FT02-4,BNPND020_20140623_FT02,4,MRFL,Ectromelia,,PSRE,TRUE,1
CA-BN017_20170731_FT01-4,BNPND024_20090702_FT01,1,MJAW,several malformations on lower jaw,PSRE,PSRE,TRUE,1
CA-BN018_20170731_FT01-1,BNPND024_20090702_FT02,1,BLHL,doesn't say if front or back leg or left or right,PSRE,PSRE,TRUE,1
BNPND024_20140715_FT03-1,BNPND024_20140715_FT03,1,RDRHF,Brachypodia,,PSRE,TRUE,1
BNPND024_20140715_FT03-2,BNPND024_20140715_FT03,2,ELHL,Polymelia,,PSRE,TRUE,1
BNPND024_20140715_FT05-1,BNPND024_20140715_FT05,1,HYRHL,Genicular hyperextension,,PSRE,TRUE,1
BNPND024_20140715_FT05-2,BNPND024_20140715_FT05,2,MRE,Anopthalmia,,PSRE,TRUE,1
CA-MUD66_20170705_FT01-1,BoobRCO_20090610_FT01,1,GEN,predation,BUBO,BUBO,TRUE,1
CA-MUD66_20170705_FT01-2,BoobRCO_20090729_FS02,1,ERHL,extra limb coming from right hind limb knee,PSRE,PSRE,TRUE,1
CA-MUD66_20160712_FT02-1,BWRCO_20090729_FT01,1,MLFL,missing left forelimb below elbow,PSRE,PSRE,TRUE,1
CA-MUD67_20160712_FT01-1,C60_20090717_FT03,1,MRFL,RH arm missing flesh (predation),,,FALSE,1
CA-PIG_20170720_FT01-1,C68_20090717_FT01,1,MRHL,missing right hint limb,,,FALSE,1
Ca-SF30_20160706_FT01-1,C68_20090717_FT02,1,GEN,injured right tip/fib,,,FALSE,1
CA-SF31_20170725_FT01-1,C68_20090717_FT03,1,GEN,large projection from RHL,,,FALSE,1
Ca-SF79_20140804_FT01-1,C68_20090717_FT04,1,GEN,bony RH,,,FALSE,1
Ca-SF79_20140804_FT01-2,C68_20090717_FT04,2,GEN,"malformed foot, 1digit (not trauma)",,,FALSE,1
Ca-SF79_20140804_FT01-3,C68_20090717_FT04,2,SWLHL,minor webbing at LHL,,,FALSE,1
Ca-SF79_20140804_FT02-1,C68_20090717_FT04,3,SWLHL,moderate skin webbing at LHL,,,FALSE,1
Ca-SF79_20140804_FT04-1,C68_20090807_FT01,1,GEN,cyst on left side of lower Jaw,RADR,RADR,TRUE,1
Ca-SF79_20140804_FT04-1,CabinBOR_TN7CabinBOR_TN,1,BTLFL,Taumelia,,AMCA,TRUE,1
Ca-SF79_20140804_FT04-2,CA-BN003_20100713_FT01,1,BP,bony projection left leg,PSRE,PSRE,TRUE,1
CA-SF79_20140804_FT05-1,CA-BN003_20100713_FT01,2,BP,bony projektion,PSRE,PSRE,TRUE,1
EagleGCP_20170622_FT01-1,CA-BN003_20100713_FT01,2,SW,skin webbing on left leg,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-1,CA-BN003_20100713_FT01,3,GEN,toes 4 and 5 of left foot fused,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-2,CA-BN003_20100713_FT01,4,GEN,toes 4 and 5 of left foot fused,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-3,CA-BN003_20100713-FT02,1,SW,slight skin webbing on left and right site,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-3,CA-BN003_20100713-FT02,2,ERHF,extra right leg,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-4,CA-BN003_20100713-FT02,3,BT,bony triangle in left leg,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-5,CA-BN003_20100713-FT02,3,SW,severe right leg web,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-6,CA-BN003_20100713-FT02,4,ERHL,extra right leg,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-7,CA-BN003_20130626_FT01,1,BT,,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-8,CA-BN003_20130626_FT01,1,RRHL,,PSRE,PSRE,TRUE,1
CA-BN004_20140708_FT02-1,CA-BN004_20140708_FT02,1,MLHF,Apodia,,PSRE,TRUE,1
Frog_20160718_FT01-9,CA-BN016_20100603_FT01,1,MRHD,missing toes 3-5 on right hind leg,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-9,CA-BN016_20100603_FT01,2,MRHL,missing right hind leg,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-9,CA-BN016_20100603_FT01,3,ehl,extra hind limb,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-9,CA-BN016_20100603_FT02,1,BTRHL,bony triangle on hind right limb,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-9,CA-BN016_20100603_FT02,2,MLHL,missing left hind limb,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-9,CA-BN016_20110801_FT01,1,BTRHL,,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-9,CA-BN016_20110801_FT01,1,ELHL,,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-16,CA-BN016_20110801_FT01,1,ERHL,2,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-10,CA-BN016_20110801_FT01,1,SWLHL,,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-10,CA-BN016_20110801_FT01,10,SWRHL,mild,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-11,CA-BN016_20110801_FT01,11,MRHL,developmental,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-12,CA-BN016_20110801_FT01,12,SWLHL,severe,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-13,CA-BN016_20110801_FT01,13,BTRHL,,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-14,CA-BN016_20110801_FT01,13,ELHL,,PSRE,PSRE,TRUE,1
Frog_20160718_FT01-15,CA-BN016_20110801_FT01,13,ERHF,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-1,CA-BN016_20110801_FT01,14,SWRHL,severe,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-1,CA-BN016_20110801_FT01,15,BPRHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-2,CA-BN016_20110801_FT01,15,SWRHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-3,CA-BN016_20110801_FT01,2,MRFF,trauma,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-3,CA-BN016_20110801_FT01,3,ELFL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-4,CA-BN016_20110801_FT01,4,BPRHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-5,CA-BN016_20110801_FT01,4,ELHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-5,CA-BN016_20110801_FT01,5,SWLHL,moderate,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-6,CA-BN016_20110801_FT01,6,BTRHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-6,CA-BN016_20110801_FT01,6,ERHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-7,CA-BN016_20110801_FT01,6,SWRHL,severe,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-7,CA-BN016_20110801_FT01,7,BTLHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-8,CA-BN016_20110801_FT01,7,ELHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-9,CA-BN016_20110801_FT01,8,EPEL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-9,CA-BN016_20110801_FT01,9,ERHL,"2, webbed together",PSRE,PSRE,TRUE,1
Frog_20170710_FT02-10,CA-BN016_20110801_FT02,1,ELHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-10,CA-BN016_20110801_FT02,2,BTRHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-11,CA-BN016_20110801_FT02,2,RRHL,,PSRE,PSRE,TRUE,1
Frog_20170710_FT02-12,CA-BN016_20110801_FT02,2,SWRHL,MODERATE,PSRE,PSRE,TRUE,1
Frog_20170710_FT03-1,CA-BN016_20110801_FT02,3,SWHL,MINOR,PSRE,PSRE,TRUE,1
Frog_20170710_FT03-2,CA-BN016_20110801_FT02,4,ELHF,,PSRE,PSRE,TRUE,1
Frog_20170710_FT03-3,CA-BN016_20110801_FT02,5,SWRHL,SEVERE,PSRE,PSRE,TRUE,1
CA-BN016_20140623_FT01-1,CA-BN016_20140623_FT01,1,ELHL,Polymelia,,PSRE,TRUE,1
CA-BN016_20140623_FT01-1,CA-BN016_20140623_FT01,1,ELHL,Polymelia,,PSRE,TRUE,2
CA-BN016_20140623_FT01-1,CA-BN016_20140623_FT01,1,ELHL,Polymelia,,PSRE,TRUE,3
CA-BN016_20140623_FT01-1,CA-BN016_20140623_FT01,1,ELHL,Polymelia,,PSRE,TRUE,4
CA-BN016_20140623_FT01-2,CA-BN016_20140623_FT01,2,ELHL,Polymelia,,PSRE,TRUE,1
CA-BN016_20140623_FT01-2,CA-BN016_20140623_FT01,2,SWLHL,Cutaneous fusion,,PSRE,TRUE,2
CA-BN016_20140623_FT01-3,CA-BN016_20140623_FT01,3,ELHL,Polymelia,,PSRE,TRUE,1
CA-BN016_20140623_FT01-3,CA-BN016_20140623_FT01,3,SWLHL,Cutaneous fusion,,PSRE,TRUE,2
CA-BN016_20140623_FT01-3,CA-BN016_20140623_FT01,3,SWRHL,Cutaneous fusion,,PSRE,TRUE,3
