AssmtCode,WaterTemp (C),Conductivity (uS/cm),TDS (g/l),Salinity,DO_Pct,DO (mg/l),pH,WaterColor,Turbidity,SecchiDepth (cm),NutrientSamples,TotalN (uMOLES/L),TotalP (uMOLES/L),WaterNotes,MeasDepth (m),DOC mg C/L,NH4+ (uEQ/L),DON (uM/L),PO4 3- (uEQ/L),IP (uM/L),DOP (uM/L),NO3-(uEQ/L),IN (uM/L)
10488_20070710,17.78000069,66,0.043000001,0.029999999,,,7.039999962,Brown/Humic,,,2,,,,,,,,,,,,
10511_20090608,15.35999966,1413,1.126000047,0.879999995,86.59999847,8.619999886,4.75,,6.079999924,,1,,,,,,,,,,,,
10511_20090727,23.97999954,2297,1.523000002,1.200000048,91.30000305,7.639999866,8.93999958,Clear,10.03999996,,1,,,"no secchi tube, ysi acting up",,,,,,,,,
10559_20070628,18.04999924,98,0.0173,0.050000001,104.4000015,9.869999886,,milky grey,,,,,,Lined pond with highly groomed edges.,,,,,,,,,
10559_20100603,18.45000076,402,0.298000008,0.219999999,76.80000305,7.190000057,7.860000134,Clear,15,0.349999994,1,23.35000038,0.200000003,Zoolander Sample 1 (6/3/10) unfiltered*,,3.789999962,4.630000114,,,,,,
10559_20100722,18.79999924,126,0.093000002,0.07,-2.5,0.189999998,8.159999847,Brown,,14.5,0,,,,,,,,,,,,
10559_20100817,18.81999969,114,0.082000002,0.059999999,123.5,11.13000011,8.760000229,Brown,,22,0,,,,,,,,,,,,
10559_20110701,18.79999924,186,0.138999999,0.100000001,73.09999847,6.699999809,8.18999958,Turbid,18.10000038,23,1,39.26299667,0.423674166,near busy road and borders apartment complex.,,6.72467804,9.06413269,,,,,,
10559_20110804,21.38999939,163,0.114,0.079999998,94.59999847,8.25,8.140000343,Turbid,,18,1,,,,,,,,,,,,
10585_20070628,18.64999962,234,0.151999995,0.109999999,66.5,6.179999828,7.840000153,Brown,,,,,,,,,,,,,,,
10585_20080514,14,217,0.141000003,0.100000001,200,21.14999962,10.47999954,Green,,,,14.97999954,1.149999976,,,,,,,,,,
10585_20080603,19.14999962,218,0.158999994,0.119999997,101.4000015,9.380000114,9.770000458,,,,,231.1600037,5.039999962,,,,,,,,,,
10585_20080630,20.97999954,319,0.222000003,0.159999996,6.440000057,5.610000134,8.319999695,Brown,,,1,175.0700073,0.059999999,,,,,,,,,,
10585_20080722,29.79999924,3.75,0.266000003,0.200000003,54.59999847,4.880000114,8.079999924,,,72,,184.9199982,0.059999999,,,,,,,,,,
10585_20080811,19.80999947,383,0.275999993,0.200000003,76.59999847,6.980000019,8.229999542,,28.39999962,,,212.1000061,1.080000043,,,,,,,,,,
10585_20100609,22.72999954,141,0.096000001,0.07,82,7.019999981,7.599999905,Brown,8.210000038,73,1,71.16999817,0.649999976,"IQ pond water sample 1, 6/9/10",,19.06999969,0.639999986,,,,,,
10585_20100716,22.34000015,156,0.105999999,0.079999998,104,9.029999733,8.56000042,Brown,,51.79999924,0,,,,,,,,,,,,
10585_20100803,21.32999992,159,0.111000001,0.079999998,2.400000095,0.209999993,8.270000458,Brown,,65,0,,,,,,,,,,,,
10585_20110615,23.25,191,0.128000006,0.090000004,13.02000046,150,11.14000034,Turbid,9.829999924,30,1,133.3316193,1.688555956,"lots of dog activity, lots of grazing and cow tracks form a ring around the pond.",,25.6292057,3.112104893,,,,,,
10585_20110803,20.60000038,229,0.160999998,0.119999997,17.29999924,1.669999957,7.840000153,Turbid,10.14999962,45,1,,,,,,,,,,,,
10725_20070605,22.89999962,2158,,,49.5,4.150000095,,Clear/Brown,,,,,,,,,,,,,,,
10725_20090526,16.43000031,2707,2.170000076,1.720000029,56.20000076,5.539999962,6.03000021,Brown,45.09999847,,1,,,,,,,,,,,,
10725_20100615,20.55999947,2472,1.802000046,1.440000057,-2.299999952,-1.799999952,7.949999809,Brown,5.940000057,0.360000014,1,87.66999817,0.720000029,Paddle Boat pond sample 1 6/15/10,,13.18999958,19.12999916,,,,,,
10725_20100722,25.04000092,3068,1.988000035,1.590000033,-1.299999952,-0.100000001,8.079999924,Turbid,,27.79999924,0,,,,,,,,,,,,
10725_20100817,23.79999924,3202,2.160000086,1.74000001,176,14.97999954,8.300000191,Brown,,36,0,,,,,,,,,,,,
10725_20110627,22.89999962,3763,2.529999971,2.059999943,73.19999695,6.179999828,8.149999619,Turbid,8.409999847,17,1,108.6117859,0.569481373,,,13.99664021,20.90560532,,,,,,
10725_20110727,24.20000076,3137,2.089999914,1.690000057,65.09999847,5.199999809,8.010000229,Turbid,89.09999847,12,1,,,,,,,,,,,,
10757_20070607,17.29999924,428.2999878,,,113,11.03999996,,Brown/Humic,,,2,,,,,,,,,,,,
10757_20070702,23.89999962,360,0.238999993,0.170000002,112.3000031,,9.079999924,,,,,,,,,,,,,,,,
10757_20080514,18.82999992,1259,0.818000019,0.629999995,270,25.04000092,10.18999958,,,,,,,,,,,,,,,,
10757_20080603,25.28000069,1616,1.044999957,,0.331999987,27.17000008,10.56999969,,,,1,154.865799,3.119999886,,,,,,,,,,
10757_20080702,25.84000015,798,0.510999978,0.379999995,280.3999939,22.77000046,10.40999985,clear/brownish,,,1,133.0800018,4.480000019,,,,,,,,,,
10757_20080722,25.55999947,1230,0.762000024,0.569999993,362,24.60000038,10.71000004,,,,,239.25,9.229999542,,,,,,,,,,
10757_20080813,23.5,1341,0.898999989,0.689999998,73.59999847,6.230000019,10.15999985,"brown, green",29.20000076,7,1,260.3299866,5.239999771,,,,,,,,,,
10757_20090521,19.03000069,597,0.437999994,0.330000013,118.9000015,11,5.570000172,Clear,7.650000095,,1,,,,,,,,,,,,
10757_20100603,18.79999924,1085,0.799000025,0.620000005,135.3999939,12.53999996,9.25,Clear,1.730000019,121,1,75.11000061,1.769999981,"Goose pond water sample 1, 6/3/10, unfiltered",,13.86999989,2.950000048,,,,,,
10757_20100629,22.67000008,488,0.331999987,0.25,167.1000061,14.14999962,8.279999733,Clear,,120,0,,,Secchi depth greater than 120 cm,,,,,,,,,
10757_20100727,24.13999939,658,0.43599999,0.330000013,0.600000024,0.07,8.260000229,Clear,,69.5,0,,,,,,,,,,,,
10757_20110708,20.29999924,193,0.138999999,0.137999997,156,12.10000038,7.71999979,Clear,2.359999895,120,1,53.89693069,8.37171936,,,8.847789764,,,,,,,
10757_20110801,28.29999924,648,0.391000003,0.289999992,215,21.09000015,9.649999619,Clear,0.660000026,115,1,,,,,,,,,,,,
10820_20090609,21.05999947,5359,3.76699996,3.150000095,255.8000031,22.37000084,5.570000172,Clear,4.070000172,,1,,,,,,,,,,,,
10820_20090803,23.72999954,5652,3.767999887,3.140000105,-0.100000001,0.01,10.53999996,Clear,2.660000086,,1,,,,,,,,,,,,
10846_20070615,19,430,0.280999988,0.209999993,107.9000015,9.970000267,7.940000057,Brown,71.19999695,,,,,other cond. 378. water color brown/red humic. Turbidity units in meters on sheet (*70 meters?),,,,,,,,,
10846_20100621,20.30999947,474,0.338,0.25,153.6999969,13.92000008,8.090000153,Clear,0.579999983,1.200000048,1,24.69000053,0.319999993,Secchi depth was greater than 1.2m,,5.96999979,0.800000012,,,,,,
10846_20100712,19.32999992,419,0.305999994,0.230000004,109.3000031,9.93999958,8.050000191,Clear,,120,0,,,Secchi depth greater than 120,,,,,,,,,
10846_20100802,22.20999908,425,0.291999996,0.219999999,62.90000153,5.489999771,7.480000019,Clear,,120,0,,,Secchi depth greater than 120 cm,,,,,,,,,
10846_20110615,18.89999962,558,0.409000009,0.310000002,95.5,8.81000042,7.96999979,Clear,1.230000019,120,1,35.20515442,0.95240289,"Clear water. Duckweed lilies, cattails throughout pond.",,9.700444221,1.871122837,,,,,,
10846_20110720,23.26000023,409,0.275000006,0.200000003,240,16,8.800000191,Clear,4.199999809,120,1,,,,,,,,,,,,
10909_20070717,13.42000008,16,0.011,0.01,97.09999847,10.14000034,6.809999943,Clear,,,2,,,,,,,,,,,,
10964_20090609,19.36000061,8990,6.547999859,5.699999809,151.1000061,13.44999981,4.920000076,Clear,4.199999809,,1,,,,,,,,,,,,
10983_20090609,15.61999989,432,0.342000008,0.25999999,79,7.820000172,4.519999981,Brown,1.590000033,,1,,,,,,,,,,,,
10983_20090803,20.06999969,5108,0.379000008,0.280000001,5.199999809,0.469999999,9.93999958,Clear,5.989999771,,1,,,,,,,,,,,,
11307_20090527,19.54000092,16.25,0.453000009,0.340000004,149.1000061,13.65999985,6.369999886,,10.61999989,,,,,,,,,,,,,,
11444_20070709,23.79999924,414,0.270999998,0.200000003,147.7899933,12.72999954,8.210000038,Brown/Clear,0.270999998,,2,,,,,,,,,,,,
11508_20090608,17.81999969,6533,4.921000004,4.199999809,142.5,13.21000004,5.090000153,Clear,1.029999971,,,,,,,,,,,,,,
11518_20070712,14.88000011,42,0.027000001,0.02,94.5,9.579999924,6.739999771,Clear,,,2,,,,,,,,,,,,
11651_20090605,19.03000069,5925,4.346000195,3.680000067,125.4000015,11.38000011,5.519999981,,4.96999979,,1,,,,,,,,,,,,
11651_20090803,21.29000092,1317,0.921999991,0.709999979,-0.400000006,-0.039999999,9.5,Brown,0.639999986,,1,,,,,,,,,,,,
11655_20090605,19.75,9,0.006,0,142.3000031,13.01000023,5.690000057,Clear,4.320000172,,1,,,,,,,,,,,,
11660_20090608,15.90999985,315,0.247999996,0.180000007,-2.700000048,-0.25999999,5.059999943,Brown,44,,1,,,,,,,,,,,,
11722_20070705,23.26000023,181,0.122000001,0.090000004,71.19999695,6.150000095,7.929999828,Brown,,,,,,,,,,,,,,,
11722_20090715,25.31999969,612,0.395000011,0.289999992,243.8000031,20,8.859999657,grey,47.20000076,,1,,,,,,,,,,,,
11747_20070713,13.60000038,52,0.034000002,0.02,123.3000031,12.81999969,7.010000229,Clear,0.5,,2,,,,,,,,,,,,
11755_20070706,22.54999924,783,0.458000004,0.349999994,226.8999939,20.05999947,8.75,Brown,,,2,,,,,,,,,,,,
11799_20070716,,27,0.017000001,0.01,109.9000015,11.30000019,6.559999943,,,,2,,,,,,,,,,,,
11820_20070716,11.22999954,30,0.018999999,0.01,107,11.73999977,7,Clear,0.600000024,,2,13.90999985,0.159999996,,,,,,,,,,
11928_20070712,13.88000011,39,0.061999999,0.02,90.90000153,9.380000114,6.869999886,Clear,,,2,,,,,,,,,,,,
11967_20090629,22.34000015,1067,0.731000006,0.560000002,129.8000031,11.23999977,6.03000021,,0.219999999,,1,,,,,,,,,,,,
12231_20090606,20.17000008,2040,1.460999966,1.159999967,201.8999939,18.17000008,5.440000057,Clear,0.270000011,,1,,,,,,,,,,,,
12231_20090727,23.40999985,1181,0.791999996,0.610000014,0.899999976,0.079999998,9.109999657,,5.349999905,,1,,,,,,,,,,,,
12231_20100624,23.17000008,1946,1.297000051,1.019999981,216.1000061,18.04999924,7.199999809,Turbid,21.39999962,0.280000001,1,103.7600021,0.579999983,,,13.02999973,15.56000042,,,,,,
12306_20070710,21.64999962,,0.022,0.01,98.09999847,8.630000114,6.980000019,Clear,,,2,,,,,,,,,,,,
12333_20090616,17.10000038,288,0.204999998,0.150000006,106.3000031,10.25,5.739999771,clear brown,0.931999981,,1,,,,,,,,,,,,
12341_20070720,17.13999939,14,0.009,0.01,87,8.390000343,9.18999958,,,,2,,,,,,,,,,,,
12376_20090616,14.35999966,2.089999914,0.170000002,0.129999995,76.19999695,7.78000021,5.489999771,Brown,25.39999962,32,1,,,,,,,,,,,,
12532_20070723,10.18999958,65,0.041999999,0.029999999,98.59999847,11.09000015,7.380000114,Clear,,,2,,,,,,,,,,,,
12552_20090617,18.89999962,547,0.402999997,0.300000012,-2.400000095,-0.219999999,5.760000229,Clear,1.200000048,,1,,,,,,,,,,,,
12563_20070723,13.22000027,72,0.046999998,0.029999999,97.19999695,9.670000076,7.539999962,,1,,2,,,,,,,,,,,,
12573_20090610,16.80999947,80,0.061999999,0.039999999,79.90000153,7.75,4.820000172,Clear,7.78000021,,1,,,,,,,,,,,,
12573_20090729,20.88999939,71,0.050000001,0.039999999,123.6999969,11.05000019,9.029999733,Brown,6.590000153,,1,,,,,,,,,,,,
12573_20100607,22.76000023,85,0.057,0.039999999,-2,-0.180000007,8.930000305,Turbid,3.069999933,0.709999979,1,30.27000046,0.460000008,36 Pond Sample 1 6/7/10 *unfiltered,,6.650000095,2.210000038,,,,,,
12573_20100720,22.85000038,91,0.061999999,0.039999999,78.40000153,6.739999771,8.06000042,Clear,,120,1,,,,,,,,,,,,
12573_20100728,23.46999931,90,0.059999999,0.039999999,-1,-0.079999998,8.220000267,Clear,,72.80000305,0,,,,,,,,,,,,
12585_20090518,13.93999958,1499,1.24000001,0.939999998,43.59999847,,7.849999905,Brown,3.160000086,,1,,,,,,,,,,,,
12585_20090702,19.82999992,19.37000084,1.396999955,1.100000024,57.09999847,5.179999828,6.199999809,red,,15,,,,,,,,,,,,,
12585_20100607,20.65999985,14.09000015,1.004999995,0.779999971,20.10000038,1.710000038,8.430000305,Brownish clear,5.130000114,45,1,75.88999939,3.980000019,,,20.79999924,7.539999962,,,,,,
12585_20100629,19.29999924,77,0.035999998,0.039999999,109.9000015,10.30000019,7.829999924,Brown,,103,0,,,,,,,,,,,,
12585_20100728,20.29999924,1414,1.011999965,0.790000021,18.39999962,1.649999976,12.84000015,,,2,0,,,Water color is black,,,,,,,,,
12585_20110720,27.70000076,1511,0.934000015,0.720000029,42,3.200000048,8.050000191,Turbid,305,40,1,,,,,,,,,,,,
12588_20090715,23.5,364,0.224000007,0.180000007,1.200000048,0.180000007,8.550000191,Brown,3.210000038,,1,,,,,,,,,,,,
12588_20100624,21.87999916,305,0.209999993,0.150000006,101.1999969,8.850000381,7.269999981,,2.450000048,109,1,54.75,0.039999999,,,10.64000034,2.180000067,,,,,,
12588_20100719,22.40999985,272,0.184,0.129999995,-4.300000191,-0.289999992,7.300000191,Brown,,43.20000076,0,,,,,,,,,,,,
12588_20100803,21.39999962,353,0.237000003,0.170000002,0,0,7.28000021,Brown,,91.19999695,0,,,,,,,,,,,,
12588_20110715,20.10000038,150,0.105999999,0.079999998,41,3.799999952,8.050000191,clear/humic,3.269999981,95,1,26.51792145,0.332675785,,,5.726570129,1.007005811,,,,,,
12588_20110809,19.10000038,247,0.180000007,0.129999995,27,2.480000019,7.900000095,brown/turbid,7.679999828,29,1,,,,,,,,,,,,
12598_20070525,13.30000019,72.19999695,,,105,10.72999954,,Turbid,,,2,,,recent rain events- higher water levels,,,,,,,,,
12598_20090518,11.22000027,70,0.061000001,0.039999999,99,10.78999996,7.650000095,Brown,0.340000004,,,,,"Cherryvale East, water sample 1, 6/7/10, unfiltered",,,,,,,,,
12598_20100607,13.88000011,74,0.061000001,0.039999999,96.19999695,19.22999954,7.230000019,Clear,4.840000153,99,1,11.27999973,0.140000001,,,3.74000001,2.75999999,,,,,,
12598_20100629,21.45999908,12.96000004,0.906000018,0.699999988,-2.400000095,-2.099999905,7.139999866,Brown,,42.09999847,0,,,,,,,,,,,,
12598_20100728,23.34000015,112,0.075999998,0.050000001,93.59999847,7.980000019,8.199999809,Clear,,36,0,,,,,,,,,,,,
12598_20110601,16.5,81,0.064000003,0.039999999,100,10.19999981,7.199999809,Green,2.789999962,65.5,1,19.23116875,1.149012685,,,4.81604147,1.406872153,,,,,,
12598_20110627,19.70000076,56,0.041000001,0.029999999,105.1999969,9.880000114,8.050000191,Clear,2.230000019,120,1,,,,,,,,,,,,
12598_20110725,26.5,117,0.074000001,0.050000001,139,1.299999952,7.829999924,Clear,0.939999998,120,1,,,,,,,,,,,,
12607_20070607,16.5,1990,,,36.40000153,3.25,,Brown,,70,,,,"Oily slick film, humic",,,,,,,,,
12607_20070702,21.27000046,2012,0.405000001,1.110000014,52,4.630000114,8.069999695,,,,,,,,,,,,,,,,
12607_20080514,16,2586,1.700000048,1.360000014,80,7.670000076,8.5,Brown,,,,,,,,,,,,,,,
12607_20080603,18,2719,2.040999889,1.649999976,4.800000191,0.449999988,8.020000458,Brown,,40,,,,,,,,,,,,,
12607_20080708,19.43000031,2872,2.088999987,1.690000057,33.79999924,3.069999933,8.659999847,,85.40000153,,,267.0400085,16.83992958,,,,,,,,,,
12607_20080722,20.12999916,3062,2.730000019,1.789999962,40.5,3.690000057,8.890000343,Brown,,,,378.25,20.96999931,,,,,,,,,,
12607_20080813,18.90999985,3621,2.664000034,2.180000067,90.59999847,8.31000042,8.979999542,,18,29,1,470.2000122,28.01000023,,,,,,,,,,
12607_20090618,17.56999969,1662,1.258999944,0.99000001,75.5,7.170000076,5.460000038,Brown,0.389999986,,1,,,,,,,,,,,,
12607_20090810,,,,,,,,,,,,,,no water quality data,,,,,,,,,
12607_20100603,16.54999924,2061,1.59800005,1.269999981,9.100000381,0.850000024,,Clear,14.39999962,0.352999985,1,100.7399979,9.430000305,"Yellow Head Pond water sample 1, 6/3/10, unfiltered",,18.05999947,7.630000114,,,,,,
12607_20100629,18.10000038,2112,1.575000048,1.25,12.19999981,1.070000052,8.090000153,,,18,0,,,,,,,,,,,,
12607_20100727,18.95999908,1823,1.312999964,0.104000002,24.79999924,2,8.670000076,Brown,,14,0,,,,,,,,,,,,
12607_20110715,20.75,2085,1.49000001,1.179999948,12.10000038,1.00999999,8.890000343,Brown,11,19,1,225.6621857,23.33783913,,,29.25913239,21.30950356,,,,,,
12608_20090714,23.26000023,372,0.25,0.180000007,179.8999939,15.34000015,8.960000038,,3.5,,1,,,,,,,,,,,,
12608_20100621,20.59000015,360,0.252999991,0.189999998,136.1999969,12.27000046,8.670000076,Clear,1.00999999,120,1,53.34999847,0.720000029,Secchi depth greater than 120 cm,,11.77999973,2,,,,,,
12608_20100720,19.47999954,329,0.363999993,0.310000002,7.599999905,5.179999828,8.420000076,Clear,,53.5,0,,,,,,,,,,,,
12608_20100817,17.77000046,189,0.140000001,0.100000001,-1.5,-0.150000006,7.380000114,Clear,,120,0,,,Secchi depth greater than 120 cm,,,,,,,,,
12608_20110617,19.75,0.925000012,0.601000011,0.460000008,79.19999695,7.429999828,8.5,Clear/humic,1.450000048,115,1,114.0223618,0.58138752,,,18.20062447,1.48420465,,,,,,
12611_20070612,19.89999962,367,,0.200000003,,,,Brown,0.800000012,,2,,,"water color brown/green
high abundance of macrophyte: fanwort (cabomba caroliniana)
Turbidity is measured in meters.",,,,,,,,,
12611_20090518,17.29000092,1354,1.027999997,0.800000012,103.3000031,9.75,7.880000114,,4.360000134,,1,,,,,,,,,,,,
12611_20090701,21.85000038,312,,0.159999996,,,6.380000114,,2.460000038,100,,,,,,,,,,,,,
12611_20090810,,,,,,,,,,,,,,no water quality data,,,,,,,,,
12611_20100607,18.46999931,465,0.344999999,0.25999999,70.19999695,6.570000172,7.769999981,Clear,6.480000019,95,1,41.77000046,2.819999933,Bullfrog Madness Water Sample 1 (6/7/2010) *unfiltered,,10.15999985,6.599999905,,,,,,
12611_20100629,18.81999969,156,0.115000002,0.079999998,115.1999969,10.65999985,8.090000153,Clear,,24.5,0,,,,,,,,,,,,
12611_20100728,20.52000046,802,0.57099998,0.430000007,-4.409999847,-0.400000006,7.349999905,Clear,,40.79999924,0,,,,,,,,,,,,
12611_20110617,15.39999962,1339,1.090000033,0.870000005,12.39999962,1.159999967,8.069999695,Humic,3.619999886,0.699999988,1,90.75279999,4.065037251,,,16.14071655,1.097713113,,,,,,
12611_20110801,20.29999924,615,0.442999989,0.330000013,20.10000038,1.75999999,7.480000019,Brown,24.5,17,1,,,,,,,,,,,,
12612_20070615,22.15999985,185,0.120999999,0.090000004,82.90000153,6.829999924,7.050000191,Clear,,,2,,,other cond 182 uS/cm. Very poor looking. Large tar chunk next to the water.,,,,,,,,,
12612_20100608,19.79999924,2.059999943,0.148000002,0.109999999,42.70000076,3.970000029,6.920000076,Brown,3.630000114,1.070000052,1,43.18000031,0.349999994,GBH pond sample 1 6/8/10 *unfiltered,,11.39000034,1.559999943,,,,,,
12612_20100719,20.85000038,236,0.166999996,0.119999997,66.40000153,15.89000034,8.180000305,Brown,,38.29999924,0,,,,,,,,,,,,
12612_20100730,21.40999985,302,0.649999976,5.079999924,-3.099999905,-1.360000014,7.329999924,tea,,43.20000076,0,,,,,,,,,,,,
12612_20100802,27.20999908,295,0.180999994,0.129999995,1.700000048,0.129999995,7.380000114,Brown,,78.40000153,0,,,,,,,,,,,,
12612_20100816,20.96999931,241,0.170000002,0.119999997,100.0999985,8.819999695,8.409999847,Brown,,84.80000305,0,,,,,,,,,,,,
12612_20100909,15.38000011,222,0.164000005,0.119999997,-0.239999995,-2.400000095,6.400000095,Clear,,57,0,,,,,,,,,,,,
12612_20110601,18.5,189,0.140000001,0.100000001,110.3000031,10.35999966,7.400000095,Humic,4.739999771,,1,47.49908447,0.583355904,"no secchi.
Grass, trees on edge. Water levels unusually high.",,9.090943336,1.793705106,,,,,,
12612_20110725,27.10000038,280,0.174999997,0.129999995,7.300000191,5.539999962,8.109999657,,9.18999958,0.5,1,,,,,,,,,,,,
12653_20070605,20.10000038,2716,,,146.8000031,13.28999996,,,,100,2,,,,,,,,,,,,
12653_20100604,19.77000046,1813,1.299999952,1.029999971,128.1000061,11.60000038,12.27000046,Clear,1.169999957,105,1,,,"Discovery sample 1, 6/4/10 unfiltered",,,,,,,,,
12653_20100722,22.94000053,10825,1.231999993,0.959999979,0.300000012,0.029999999,8.18999958,Clear,,102.8000031,0,,,,,,,,,,,,
12653_20100817,20.72999954,1902,1.342800021,1.059999943,-3.799999952,-0.379999995,7.489999771,Clear,,106,0,,,,,,,,,,,,
12653_20110602,17.26000023,1752,1.338000059,1.059999943,121.9000015,12,8.300000191,Humic,4.949999809,,1,57.86885071,0.261020035,No secchi. Old pier present.,,8.731651306,1.25225842,,,,,,
12653_20110713,26,1628,1.034999967,0.800000012,147,12.53999996,10.05000019,Clear,3.289999962,72,1,62.56804276,0.299150199,,,8.385310173,1.517327428,,,,,,
12658_20070605,,513,,,22.5,10.07999992,,,2.25,,,,,,,,,,,,,,
12658_20100604,20.79999924,459,0.324999988,0.239999995,183.6000061,16.34000015,12.81999969,Clear,1.139999986,120,1,86.16999817,0.400000006,Red Tailed Hawk Sample 1 (6/4/2010) *unfiltered,,16.81999969,3.690000057,,,,,,
12658_20100722,24.15999985,433,0.286000013,0.209999993,232.1000061,17.20000076,8.109999657,Clear,,72.19999695,0,,,,,,,,,,,,
12658_20100817,22.21999931,440,0.301999986,0.219999999,136.6999969,11.96000004,8.579999924,Clear,,120,0,,,Secchi depth greater than 120cm,,,,,,,,,
12658_20110811,27.54000092,1200,0.810000002,0.610000014,133,10.10000038,9.199999809,green/clear,31.79999924,45,1,,,,,,,,,,,,
12678_20070612,20,5.050000191,,0.200000003,67.80000305,6.070000172,,Brown,,100,2,,,,,,,,,,,,
12678_20100621,22.92000008,644,0.437999994,0.330000013,104.5,8.970000267,8,Brown,3.390000105,0.589999974,1,94.58000183,0.550000012,,,19.45999908,2.720000029,,,,,,
12678_20100722,21.28000069,594,0.419999987,0.310000002,0.5,0.050000001,8.180000305,Clear,,75,0,,,,,,,,,,,,
12678_20100817,17.56999969,623,0.469999999,0.360000014,41,3.569999933,8.020000458,Clear,,107,0,,,,,,,,,,,,
12678_20110629,19.87000084,1112,0.800000012,0.610000014,32.79999924,3.019999981,8.149999619,Turbid,18.79999924,13,1,296.2935791,1.273467898,,,34.48416138,1.25225842,,,,,,
12678_20110725,30.20000076,1212,0.714999974,0.540000021,245,18,9.270000458,Turbid,12,,1,,,,,,,,,,,,
12688_20080612,18.57999992,1538,1.139000058,0.889999986,173.5,16.14999962,8.869999886,,,,1,88.93000031,0.550000012,,,,,,,,,,
12765_20070607,19.60000038,468,,,63.79999924,5.289999962,,Turbid/Brown,,20,2,,,,,,,,,,,,
12770_20090714,21.97999954,403,0.277999997,0.209999993,127.9000015,11.17000008,8.840000153,Clear,,120,1,,,,,,,,,,,,
12770_20090803,19.10000038,999,0.731999993,0.560000002,76.09999847,7.019999981,12.39000034,clear/muddy,11.80000019,,1,,,,,,,,,,,,
12770_20110624,22.56999969,663,0.451999992,0.340000004,110,9.319999695,8.119999886,Turbid,4.460000038,28,1,43.82514191,0.198427424,,,6.215577126,2.568644285,,,,,,
12770_20110718,25.60000038,493,0.317999989,0.239999995,45.09999847,3.410000086,8.020000458,Humic,8.300000191,30,1,,,,,,,,,,,,
12776_20070531,17.20000076,303.7000122,,0.200000003,51.59999847,4.949999809,,Brown,,1000,2,,,,,,,,,,,,
12776_20080514,,,,,,,,,,,,,,no water quality data,,,,,,,,,
12776_20090518,17.29000092,210,0.158999994,0.119999997,38.20000076,3.349999905,8.430000305,,16,,,,,,,,,,,,,,
12776_20090701,20.62000084,331,0.234999999,0.170000002,48.09999847,4.309999943,5.980000019,Brown,2.380000114,57,1,,,,,,,,,,,,
