SurveyCode,SeineCode,NetSeq,CrewID,Depth (ft),Distance (ft),Entered by,GeneralComments,Updated_Spp
0000_20110622_NS01,0000_20110622_NS01-04,4,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-05,5,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-06,6,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-07,7,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-08,8,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-09,9,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-10,10,27,,,,,FALSE
0000_20110622_NS01,0000_20110622_NS01-11,11,27,,,,,FALSE
0000_20110622_NS02,0000_20110622_NS02-01,1,27,3,6,,,FALSE
0000_20110622_NS02,0000_20110622_NS02-02,2,27,3,7,,,FALSE
0000_20110622_NS02,0000_20110622_NS02-03,3,27,4,10,,,FALSE
0000_20110809_NS02,0000_20110809_NS02-01,1,"21, 27",3,4,,,FALSE
0000_20110809_NS02,0000_20110809_NS02-02,2,"21, 27",3,4,,,FALSE
0000_20110809_NS02,0000_20110809_NS02-03,3,"21, 27",3,8,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-01,1,23,,,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-02,2,23,,,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-03,3,23,,,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-04,4,23,,,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-05,5,23,,,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-06,6,23,,,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-07,7,23,,,,,FALSE
10412_20090610_NS01,10412_20090610_NS01-08,8,23,,,,,FALSE
104601_20090721_NS01,104601_20090721_NS01-01,1,23,,,,,FALSE
104601_20090721_NS01,104601_20090721_NS01-02,2,23,,,,,FALSE
104601_20090721_NS01,104601_20090721_NS01-03,3,23,,,,,FALSE
104601_20090721_NS01,104601_20090721_NS01-04,4,23,,,,,FALSE
104601_20090721_NS01,104601_20090721_NS01-05,5,23,,,,,FALSE
104601_20090721_NS01,104601_20090721_NS01-06,6,23,,,,,FALSE
104601_20090721_NS02,104601_20090721_NS02-01,1,23,,,,,FALSE
10488_20070710_NS01,10488_20070710_NS01-01,1,28,,,,,FALSE
10488_20070710_NS01,10488_20070710_NS01-02,2,28,,,,,FALSE
10488_20070710_NS01,10488_20070710_NS01-03,3,28,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-01,1,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-02,2,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-03,3,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-04,4,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-05,5,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-06,6,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-07,7,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-08,8,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-09,9,23,,,,,FALSE
10511_20090608_NS01,10511_20090608_NS01-10,10,,,,,,FALSE
10511_20090608_NS02,10511_20090608_NS02-01,1,,1.5,9,,,FALSE
10511_20090608_NS02,10511_20090608_NS02-02,2,,1.5,13.5,,,FALSE
10511_20090608_NS02,10511_20090608_NS02-03,3,,1.5,12,,,FALSE
10511_20090608_NS02,10511_20090608_NS02-04,4,,2,15,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-01,1,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-02,2,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-03,3,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-04,4,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-05,5,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-06,6,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-07,7,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-08,8,,,,,,FALSE
10511_20090727_NS01,10511_20090727_NS01-09,9,,,,,,FALSE
10511_20090727_NS02,10511_20090727_NS02-01,1,,1.5,21,,,FALSE
10511_20090727_NS02,10511_20090727_NS02-02,2,,1.5,21,,,FALSE
10559_20070628_NS01,10559_20070628_NS01-01,1,11,,,,,FALSE
10559_20070628_NS01,10559_20070628_NS01-02,2,11,,,,,FALSE
10559_20070628_NS01,10559_20070628_NS01-03,3,11,,,,,FALSE
10559_20070724_NS01,10559_20070724_NS01-01,1,28,,,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-01,1,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-02,2,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-03,3,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-04,4,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-05,5,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-06,6,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-07,7,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-08,8,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-09,9,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-10,10,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-11,11,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-12,12,13,1,3,,,FALSE
10559_20100603_NS01,10559_20100603_NS01-13,13,13,1,3,,,FALSE
10559_20100603_NS02,10559_20100603_NS02-01,1,13,3,10,,,FALSE
10559_20100603_NS02,10559_20100603_NS02-02,2,13,3,10,,,FALSE
10559_20100603_NS02,10559_20100603_NS02-03,3,13,3,10,,,FALSE
10559_20100603_NS02,10559_20100603_NS02-04,4,13,3,10,,,FALSE
10559_20100722_NS02,10559_20100722_NS02-01,1,14,1,3,,,FALSE
10559_20100722_NS02,10559_20100722_NS02-02,2,14,1,3,,,FALSE
10559_20100722_NS02,10559_20100722_NS02-03,3,14,1,3,,,FALSE
10559_20100722_NS02,10559_20100722_NS02-04,4,14,1,3,,,FALSE
10559_20100722_NS02,10559_20100722_NS02-05,5,14,1,3,,,FALSE
10559_20100722_NS02,10559_20100722_NS02-06,6,14,1,3,,,FALSE
10559_20100817_NS02,10559_20100817_NS02-01,1,14,1,3,,,FALSE
10559_20100817_NS02,10559_20100817_NS02-02,2,14,1,3,,,FALSE
10559_20100817_NS02,10559_20100817_NS02-03,3,14,1,3,,,FALSE
10559_20100817_NS02,10559_20100817_NS02-04,4,14,1,3,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-01,1,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-02,2,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-03,3,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-04,4,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-05,5,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-06,6,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-07,7,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-08,8,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-09,9,21,,,,,FALSE
10559_20110701_NS01,10559_20110701_NS01-10,10,21,,,,,FALSE
10559_20110701_NS02,10559_20110701_NS02-01,1,21,3,7,,,FALSE
10559_20110701_NS02,10559_20110701_NS02-02,2,21,2.5,8,,,FALSE
10559_20110701_NS02,10559_20110701_NS02-03,3,21,3.5,7,,,FALSE
10559_20110804_NS02,10559_20110804_NS02-01,1,"21, 27",1,10,,,FALSE
10559_20110804_NS02,10559_20110804_NS02-02,2,"21, 27",1,10,,,FALSE
10559_20110804_NS02,10559_20110804_NS02-03,3,"21, 27",1,10,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-01,1,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-02,2,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-03,3,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-04,4,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-05,5,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-06,6,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-07,7,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-08,8,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-09,9,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-10,10,11,,,,,FALSE
10585_20070628_NS01,10585_20070628_NS01-11,11,11,,,,,FALSE
10585_20070628_NS02,10585_20070628_NS02-01,1,11,3.299999952,33,,,FALSE
10585_20070628_NS02,10585_20070628_NS02-02,2,11,2.599999905,19.70000076,,,FALSE
10585_20070628_NS02,10585_20070628_NS02-03,3,11,4.199999809,13.10000038,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-01,1,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-02,2,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-03,3,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-04,4,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-05,5,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-06,6,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-07,7,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-08,8,,,,,,FALSE
10585_20080514_NS01,10585_20080514_NS01-09,9,,,,,,FALSE
10585_20080514_NS02,10585_20080514_NS02-01,1,,,,,,FALSE
10585_20080514_NS02,10585_20080514_NS02-02,2,,,,,,FALSE
10585_20080514_NS02,10585_20080514_NS02-03,3,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-01,1,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-02,2,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-03,3,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-04,4,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-05,5,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-06,6,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-07,7,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-08,8,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-09,9,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-10,10,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-11,11,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-12,12,,,,,,FALSE
10585_20080603_NS01,10585_20080603_NS01-13,13,25,,,,,FALSE
10585_20080603_NS02,10585_20080603_NS02-01,1,,3,24,,,FALSE
10585_20080603_NS02,10585_20080603_NS02-02,2,,3,12,,,FALSE
10585_20080603_NS02,10585_20080603_NS02-03,3,,3,12,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-01,1,,,,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-02,2,,,,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-03,3,,,,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-04,4,,,,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-05,5,,,,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-06,6,,,,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-07,7,,,,,,FALSE
10585_20080630_NS01,10585_20080630_NS01-08,8,,,,,,FALSE
10585_20080630_NS02,10585_20080630_NS02-01,1,,3,18,,,FALSE
10585_20080630_NS02,10585_20080630_NS02-02,2,,3,15,,,FALSE
10585_20080630_NS02,10585_20080630_NS02-03,3,,1,18,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-01,1,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-02,2,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-03,3,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-04,4,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-05,5,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-06,6,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-07,7,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-08,8,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-09,9,23,,,,,FALSE
10585_20080722_NS01,10585_20080722_NS01-10,10,23,,,,,FALSE
10585_20080722_NS02,10585_20080722_NS02-01,1,23,1.5,12,,,FALSE
10585_20080722_NS02,10585_20080722_NS02-02,2,23,1.5,12,,,FALSE
10585_20080722_NS02,10585_20080722_NS02-03,3,23,1.5,15,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-01,1,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-02,2,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-03,3,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-04,4,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-05,5,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-06,6,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-07,7,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-08,8,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-09,9,,,,,,FALSE
10585_20080811_NS01,10585_20080811_NS01-10,11,,,,,,FALSE
10585_20080811_NS02,10585_20080811_NS02-01,1,,3,12,,,FALSE
10585_20080811_NS02,10585_20080811_NS02-02,2,,3,15,,,FALSE
10585_20080811_NS02,10585_20080811_NS02-03,3,,3,18,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-01,1,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-02,2,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-03,3,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-04,4,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-05,5,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-06,6,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-07,7,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-08,8,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-09,9,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-10,10,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-11,11,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-12,12,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-13,13,14,1,3,,,FALSE
10585_20100609_NS01,10585_20100609_NS01-14,14,14,1,3,,,FALSE
10585_20100609_NS02,10585_20100609_NS02-01,1,14,3,10,,,FALSE
10585_20100609_NS02,10585_20100609_NS02-02,2,14,3,10,,,FALSE
10585_20100609_NS02,10585_20100609_NS02-03,3,14,3,10,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-01,1,13,1,3,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-02,2,13,1,3,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-03,3,13,1,3,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-04,4,13,1,3,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-05,5,13,1,3,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-06,6,13,1,3,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-07,7,13,1,3,,,FALSE
10585_20100716_NS02,10585_20100716_NS02-08,8,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-01,1,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-02,2,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-03,3,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-04,4,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-05,5,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-06,6,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-07,7,13,1,3,,,FALSE
10585_20100803_NS02,10585_20100803_NS02-08,8,13,1,3,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-01,1,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-02,2,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-03,3,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-04,4,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-05,5,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-06,6,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-07,7,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-08,8,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-09,9,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-10,10,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-11,11,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-12,12,27,,,,,FALSE
10585_20110615_NS01,10585_20110615_NS01-13,13,27,,,,,FALSE
10585_20110615_NS02,10585_20110615_NS02-01,1,21,3,6,,,FALSE
10585_20110615_NS02,10585_20110615_NS02-02,2,21,3,2,,,FALSE
10585_20110615_NS02,10585_20110615_NS02-03,3,21,3,3,,,FALSE
10585_20110803_NS02,10585_20110803_NS02-01,1,27,3,6,,,FALSE
10585_20110803_NS02,10585_20110803_NS02-02,2,27,2,5,,,FALSE
10585_20110803_NS02,10585_20110803_NS02-03,3,27,1,3,,,FALSE
10725_20070605_NS01,10725_20070605_NS01-01,1,22,,,,,FALSE
10725_20070605_NS01,10725_20070605_NS01-02,2,22,,,,,FALSE
10725_20070605_NS01,10725_20070605_NS01-03,3,22,,,,,FALSE
10725_20070605_NS01,10725_20070605_NS01-04,4,22,,,,,FALSE
10725_20070605_NS01,10725_20070605_NS01-05,5,22,,,,,FALSE
10725_20070605_NS01,10725_20070605_NS01-06,6,22,,,,,FALSE
10725_20070605_NS02,10725_20070605_NS02-01,1,22,,,,,FALSE
10725_20070605_NS02,10725_20070605_NS02-02,2,22,,,,,FALSE
10725_20070605_NS02,10725_20070605_NS02-03,3,22,,,,,FALSE
10725_20070605_NS02,10725_20070605_NS02-04,4,22,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-01,1,,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-02,2,,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-03,3,,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-04,4,,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-05,5,,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-06,6,,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-07,7,,,,,,FALSE
10725_20090526_NS01,10725_20090526_NS01-08,8,,,,,,FALSE
10725_20090526_NS02,10725_20090526_NS02-01,1,,1.5,15,,,FALSE
10725_20090526_NS02,10725_20090526_NS02-02,2,,1.5,30,,,FALSE
10725_20090526_NS02,10725_20090526_NS02-03,3,,1.5,21,,,FALSE
10725_20100615_NS02,10725_20100615_NS02-01,1,13,1,3,,,FALSE
10725_20100615_NS02,10725_20100615_NS02-02,2,2,1,3,,,FALSE
