AssmtCode,PondArea (m),Perimeter (m),MaxDepth (m),TrophicState,ShoreVeg_Pct,Juncus_Pct,Typha_Pct,Bullrush_Pct,Other_Pct,LandUsage,OpenWater_Pct,CanopyCov_Pct,Tree Measure,Length,Width,WetlandNotes,Tree Method,M or F,Dry
10585_20100803,13186,514.9900513,2,mesotrophic,40,80,0,,20,graze,98,1,3,120,80,,Num of Trees within 50 ft,m,
10585_20110615,7957,371,6,eutrophic,1,100,0,,,recr,,0,2,60,50,,Num of Trees within 50 ft,m,
10585_20110803,7748,371,1.5,eutrophic,0,0,0,0,0,recr/graze,100,0,0,100,120,,Num of Trees within 50 ft,m,
10725_20070605,2772,,,mesotrophic,35,,,,,,90,7,,,,mean diameter=25m,,,
10725_20090526,2781,,,mesotrophic,100,0,100,,,ag,80,,6,40,30,,Num of Trees in 100 m radius,m,
10725_20100615,3102.600098,273.5880127,2,mesotrophic,20,10,10,0,80,suburb,90,5,2,80,50,,Num of Trees within 50 ft,m,
10725_20100722,2950.399902,241.401001,2,mesotrophic,30,5,5,,90,suburb,95,1,3,50,30,,Num of Trees within 50 ft,m,
10725_20100817,2763.5,241.4015961,2,mesotrophic,15,0,70,,30,suburb,100,3,3,50,40,,Num of Trees within 50 ft,m,
10725_20110627,2510,,6,mesotrophic,0,,,,,graze,,,0,100,40,"grazing land, very close to road. Water level lower than usual. No living veg.",Num of Trees within 50 ft,m,
10725_20110727,2647,232,1,mesotrophic,0,0,0,,0,urban,100,2,0,60,20,,Num of Trees within 50 ft,m,
10757_20070607,4357,,1.5,mesotrophic,50,,,,,graze,85,,8,45,20,Narrow buffer of grass,Num trees within 50 m,m,
10757_20070702,,,,,60,100,,,,,,,,,,,,,
10757_20080514,3746,,,eutrophic,5,,,,,pasture,99,0,0,,,,Num of Trees in 100 m radius,,
10757_20080603,,,,eutrophic,90,,,,,graze,100,0,0,150,150,,Num of Trees in 100 m radius,m,
10757_20080702,,,,mesotrophic,100,100,0,,,,85,,0,,,,Num of Trees in 100 m radius,,
10757_20080722,,,,mesotrophic,100,95,5,,,suburb,90,0,1,30,,,Num of Trees in 100 m radius,m,
10757_20080813,,,,eutrophic,100,100,,,,graze,,,,,,,,,
10757_20090521,,,2,mesotrophic,90,90,0,,,ag/graze,95,,0,50,35,,Num of Trees in 100 m radius,m,
10757_20090811,3408.330078,273.5899963,1.5,mesotrophic,100,85,15,,0,graze,90,5,0,60,30,,Num of Trees within 50 ft,m,
10757_20100603,3408.330078,273.5899963,1.5,mesotrophic,100,85,15,,0,graze,90,5,0,60,30,,Num of Trees within 50 ft,m,
10757_20100629,3507.600098,289.6809998,2.5,mesotrophic,100,65,30,,5,ag,90,3,0,100,60,,Num of Trees within 50 ft,m,
10757_20100727,3944.699951,321.8688049,2,mesotrophic,100,60,35,,5,ag,80,0,0,90,50,,Num of Trees within 50 ft,m,
10757_20110708,3651,261,5,mesotrophic,100,60,40,,,graze,98,0,0,45,20,,Num trees within 50 m,m,
10757_20110801,3635,254,1.299999952,mesotrophic,100,20,80,0,,graze,95,0,0,80,30,,Num of Trees within 50 ft,m,
10820_20090609,6992,,,mesotrophic,100,85,15,,,ag,95,,40,40,30,,Num of Trees in 100 m radius,m,
10820_20090803,6005,,,mesotrophic,100,50,50,,,,90,,2,120,70,,Num of Trees in 100 m radius,m,
10846_20070615,,,1.850000024,mesotrophic,0,,,,,ag,,,150,25,30,.2399 ha. ag and graze. ~140 trees w/in *50m* radius. 30*25 is mean diameter.,Num trees within 50 m,m,
10846_20100621,2686.100098,289.6819153,2.5,mesotrophic,80,15,10,,75,suburb,95,25,53,90,50,,Num of Trees within 50 ft,m,
10846_20100712,2778.600098,273.5880127,2,mesotrophic,98,50,10,,0,urban,90,20,63,90,60,,Num of Trees within 50 ft,m,
10846_20100802,1841.099976,257.4950256,2,mesotrophic,40,20,10,,70,suburb,90,15,73,80,40,,Num of Trees within 50 ft,m,
10846_20110615,2703,234,1.5,mesotrophic,70,,,,,graze/suburb,85,20,50,50,30,"duckweed lilies, cattails throughout pond. Lots of horse poo (9) within 2m",Num of Trees within 50 ft,m,
10846_20110720,2482,237,2,mesotrophic,80,100,0,,,suburb,80,,40,50,70,,Num of Trees within 50 ft,,
10909_20070717,1412,,0.400000006,oligotrophic,69,,,,,forest pond,80,10,150,20,15,,Num trees within 50 m,m,
10964_20090609,2882,,0.5,mesotrophic,5,0,100,,,ag,9,,3,60,50,,Num of Trees in 100 m radius,m,
10983_20090609,3625,,,mesotrophic,,0,0,,,ag,90,,70,40,25,,Num of Trees in 100 m radius,m,
10983_20090803,,,2,mesotrophic,30,0,100,,,ag,95,,50,70,40,,Num of Trees in 100 m radius,m,
11307_20090527,678,,1,mesotrophic,50,10,90,,,ag,85,,30,35,20,,Num of Trees in 100 m radius,m,
11444_20070709,,,2,mesotrophic,,4,50,,,recr,90,4,23,22,20,,Num trees within 50 m,m,
11508_20090608,9785,,,mesotrophic,10,,100,,,ag,90,0,2,75,70,,Num of Trees in 100 m radius,m,
11518_20070712,,,10,mesotrophic,100,,,,,recr,50,20,200,,,,Distance to Treeline (m),,
11651_20090605,1249,,,mesotrophic,50,0,50,,,ag,97,,20,30,20,,Num of Trees in 100 m radius,m,
11651_20090803,2046,,1.5,mesotrophic,,,10,,,ag,80,8,16,35,30,,Num of Trees in 100 m radius,m,
11655_20090605,677,,,mesotrophic,2,0,2,,,ag,99,,25,25,25,,Num of Trees in 100 m radius,m,
11660_20090608,3647,,,mesotrophic,0,0,0,,,ag,100,,50,60,30,,Num of Trees in 100 m radius,m,
11722_20070705,,,,mesotrophic,,,10,,,suburb,90,5,39,23,15,,Num trees within 50 m,m,
11722_20090715,1306,,1,eutrophic,15,0,15,,,suburb,99,3,26,50,25,,Num of Trees in 100 m radius,m,
11747_20070713,3928,,,mesotrophic,,,,,,refuge,,6,300,40,50,,Num trees within 50 m,m,
11755_20070706,7308,,,mesotrophic,0,,,,,ag,100,3,25,35,15,,Num trees within 50 m,m,
11799_20070716,3464,,,mesotrophic,100,,,,100,Mountain pond,97,3,350,45,20,,Num trees within 50 m,m,
11820_20070716,7129,,,mesotrophic,90,,,,,mountain pond,96,0,300,29,34,,Num trees within 50 m,,
11928_20070712,77,,,oligotrophic,100,,,,,recr,,0,250,70,50,,Num trees within 50 m,m,
11967_20090629,3246,,2,mesotrophic,100,0,100,,,grassland,90,5,70,40,40,,Num of Trees in 100 m radius,m,
12231_20090606,,,,,90,40,50,,,ag,95,,50,32,28,,Num of Trees in 100 m radius,m,
12231_20090727,,,2,mesotrophic,40,,25,,,ag,,,50,40,40,,Num of Trees in 100 m radius,m,
12231_20100624,2924.699951,241.401001,3,mesotrophic,100,30,65,,5,ag,90,15,38,70,50,,Num of Trees within 50 ft,m,
12306_20070710,,,0.150000006,mesotrophic,20,,,,,,100,1,,30,,"No ""full rapid"" b/c located on watershed. quick haphazard, stde h20 for YSI",,,
12333_20090616,9225,,2,mesotrophic,35,10,24,,,suburb,70,1,95,120,50,,Num of Trees in 100 m radius,m,
12341_20070720,700,,,mesotrophic,100,,,,100,,97,0,300,15,10,,Num trees within 50 m,m,
12376_20090616,3754,,,mesotrophic,20,19,1,,,suburb,95,8,50,45,20,,Num of Trees in 100 m radius,m,
12532_20070723,100,,,mesotrophic,,,,,,refuge,90,,200,9,8,,Num trees within 50 m,m,
12552_20090617,13995,,2,mesotrophic,15,10,5,,,ag,99,2,47,80,80,,Num of Trees in 100 m radius,m,
12563_20070723,669,,,mesotrophic,100,,,,,recr,98,0,200,16,10,,Num trees within 50 m,m,
12573_20090610,625,,,mesotrophic,80,50,50,,,grassland,92,,25,20,15,,Num of Trees in 100 m radius,m,
12573_20090729,495,,2,mesotrophic,50,0,50,,,grass,96,,17,30,30,,Num of Trees in 100 m radius,m,
12573_20100607,423,109.4199982,3,oligotrophic,100,0,10,,90,graze,95,15,11,30,20,,Num of Trees within 50 ft,m,
12573_20100720,587.7999878,393,2.5,oligotrophic,100,0,70,0,30,"ag, refuge",95,15,11,20,30,"permanent, artificial",Num of Trees within 50 ft,m,
12573_20100728,477.8999939,95.40239716,2.5,mesotrophic,100,10,40,,50,graze,95,15,9,40,30,,Num of Trees within 50 ft,m,
12585_20090518,,,0.5,mesotrophic,85,0,90,,,recr,10,20,23,70,35,,Num of Trees in 100 m radius,m,
12585_20090702,3632,,3,mesotrophic,0,100,0,,,,40,,15,20,,,Num of Trees in 100 m radius,m,
12585_20100607,3190.5,337.9622498,1,mesotrophic,100,10,75,,15,graze,15,15,32,70,60,,Num of Trees within 50 ft,m,
12585_20100629,1913.800049,193.1210022,2.5,mesotrophic,95,25,75,,0,graze,80,5,17,80,50,,Num of Trees within 50 ft,m,
12585_20100728,3172.800049,241.4015961,1.5,mesotrophic,90,10,90,,0,graze,20,10,27,90,60,,Num of Trees within 50 ft,m,
12585_20110720,1642,153,1,eutrophic,100,0,100,0,0,recr,20,,15,30,20,,Num of Trees within 50 ft,m,
12588_20090715,2179,,,mesotrophic,25,0,25,,,grassland,90,5,47,45,30,,Num of Trees in 100 m radius,m,
12588_20100624,1646.199951,241.401001,2,mesotrophic,100,10,45,,45,graze,70,25,26,90,40,,Num of Trees within 50 ft,m,
12588_20100719,1684.599976,241.401001,2,mesotrophic,100,10,45,,45,recr/graze,60,15,24,60,40,,Num of Trees within 50 ft,m,
12588_20100803,1869.400024,305.7753601,1.5,mesotrophic,100,10,40,,50,graze,70,20,27,90,40,,Num of Trees within 50 ft,m,
12588_20110715,1637.599976,232,2,mesotrophic,100,0,50,,50,recr,10,5,19,30,8,,Num of Trees within 50 ft,m,
12588_20110809,,,5,mesotrophic,100,0,20,0,,recr,80,5,17,100,10,,Num of Trees within 50 ft,m,
12598_20070525,,,2,mesotrophic,50,,,,,graze,40,7,100,,,"trophic state eutrophic-mesotrophic. ""dist to trees: 37 trees""?? Mean diam: 27m",Distance to Treeline (m),,
12598_20090518,,,3,mesotrophic,100,0,50,,,graze,85,10,25,40,80,,Num of Trees in 100 m radius,m,
12598_20100607,2064.5,209.2147217,2,mesotrophic,100,55,30,,15,graze,75,15,14,50,65,,Num of Trees within 50 ft,m,
12598_20100629,3194.699951,257.4949951,1.5,mesotrophic,100,5,90,,5,graze,15,15,17,100,70,,Num of Trees within 50 ft,m,
12598_20100728,1702.699951,193.1212769,2,mesotrophic,100,10,65,,25,graze,85,15,16,80,60,,Num of Trees within 50 ft,m,
12598_20110601,2097,345,,mesotrophic,40,0,100,,,ag/graze,60,5,10,40,20,cow pasture surrounds lake,Num of Trees within 50 ft,m,
12598_20110627,2233.899902,370,1,mesotrophic,98,10,90,,,graze,85,3,11,50,30,,Num of Trees within 50 ft,m,
12598_20110725,,,1.299999952,mesotrophic,98,20,80,,,graze,80,5,10,50,30,,Num of Trees within 50 ft,m,
12607_20070607,,,1.5,mesotrophic,100,,,,,ag,20,5,57,,,Mean diameter=25-30 m,Num trees within 50 m,,
12607_20070702,,,,,,20,80,,,,,,,,,,,,
12607_20080514,3077,,,mesotrophic,70,,,,,,65,0,0,,,,Num of Trees in 100 m radius,,
12607_20080603,,,1.200000048,eutrophic,70,25,75,,,graze,,,25,55,200,,Num of Trees in 100 m radius,m,
12607_20080708,,,,eutrophic,100,20,80,,,graze,50,,30,100,50,,Num of Trees in 100 m radius,m,
12607_20080722,,,,mesotrophic,100,80,20,,,suburb,50,,20,50,,,Num of Trees in 100 m radius,m,
12607_20080813,,,,eutrophic,100,,100,,,graze,,,,,,,,,
12607_20090618,3060,,,eutrophic,100,0,100,,,suburb,0,,25,100,40,,Num of Trees in 100 m radius,m,N
12607_20090810,,,,mesotrophic,100,,100,,,ag,,0,35,40,30,,Num of Trees in 100 m radius,m,
12607_20100603,3020.300049,225.3099976,2,mesotrophic,100,10,90,,,suburb,30,25,26,80,35,Large amount of typha covering most of pond = potential breeding habitat,Num of Trees within 50 ft,m,
12607_20100629,2796,225.3079987,2,mesotrophic,100,20,70,,10,ag,30,10,12,100,50,,Num of Trees within 50 ft,m,
12607_20100727,3119.600098,225.3081665,2,mesotrophic,100,20,70,,10,ag,30,10,12,80,60,,Num of Trees within 50 ft,m,
12607_20110715,2109,185,5,eutrophic,100,0,100,,,suburb,50,2,7,30,40,,Num of Trees within 50 ft,m,
12608_20090714,6128,,2,mesotrophic,100,20,70,,,grassland,90,,5,40,40,,Num of Trees in 100 m radius,m,
12608_20100621,5442.799805,450.6159973,2,mesotrophic,95,45,55,,0,graze,60,3,1,90,70,,Num of Trees within 50 ft,m,
12608_20100720,5357,305.7749939,2,mesotrophic,100,30,70,,0,graze,60,3,2,110,90,,Num of Trees within 50 ft,m,
12608_20100817,5774.799805,289.6819153,2,mesotrophic,100,30,60,,10,graze,2,2,1,70,80,,Num of Trees within 50 ft,m,
12608_20110617,4847,275,1,eutrophic,90,10,90,,,recr,98,0,3,30,10,,Num of Trees within 50 ft,m,
12611_20070612,,,,eutrophic,50,,,,,ag,40,0,,,,eutrophic/mesotrophic. Permanent/temporary longevity. Mean diameter: 30m,,,
12611_20090518,4029,,3,eutrophic,100,40,60,,,ag,10,,1,15,60,,Num of Trees in 100 m radius,m,
12611_20090701,,,,,,,,,,,,0,1,,,,Num of Trees in 100 m radius,,
12611_20090810,,,,mesotrophic,,,100,,,grassland,10,,,70,30,,,m,
12611_20100607,4292.799805,434.519989,1.200000048,mesotrophic,100,60,40,,0,graze,10,0,1,90,20,temporary= poor bullfrog breeding,Num of Trees within 50 ft,m,
12611_20100629,4044,482.803009,1,mesotrophic,100,30,65,,5,recr/graze,20,0,0,110,30,,Num of Trees within 50 ft,,
12611_20100728,3203.399902,450.616333,0.5,mesotrophic,100,30,70,,0,graze,5,0,0,110,30,,Num of Trees within 50 ft,m,
12611_20110617,932.7999878,157,1,eutrophic,100,20,80,,0,graze,3,0,0,30,20,,Num of Trees within 50 ft,m,
12611_20110801,1057,150,1,eutrophic,100,,,,,recr,5,0,0,30,15,,Num of Trees within 50 ft,m,
12612_20070615,,,,mesotrophic,25,20,5,,,recr,80,,,22,12,open space pond located at trailhead. 0.1265 Ha. 7 trees within 50m,,,
12612_20100608,888.7999878,177.0299988,2,mesotrophic,80,60,10,,10,recr,95,0,13,30,25,aquatic veg could provide breeding habitat; oil residue on water surface,Num of Trees within 50 ft,m,
12612_20100719,586.5999756,134.1119995,1.5,mesotrophic,50,5,5,,90,recr,80,10,15,70,50,,Num of Trees within 50 ft,m,
12612_20100730,66,92.34999847,2,mesotrophic,100,10,0,,90,recr,95,5,15,15,15,,Num of Trees within 50 ft,m,
12612_20100802,663.4000244,85.94999695,1,mesotrophic,50,80,0,,20,recr,100,5,18,40,30,,Num of Trees within 50 ft,m,
12612_20100816,662.5999756,87.77999878,1.5,mesotrophic,70,80,10,,10,recr,95,15,23,50,20,,Num of Trees within 50 ft,m,
12612_20100909,614.2999878,77.11000061,1,mesotrophic,50,80,5,,15,recr,100,0,16,20,15,,Num of Trees within 50 ft,m,
12612_20110601,,,,mesotrophic,100,0,20,,,recr,100,,8,40,30,,Num of Trees within 50 ft,m,
12612_20110725,529,100,1,mesotrophic,100,,,,100,recr,,,,20,30,,Num of Trees within 50 ft,m,
12653_20070605,6280,,,mesotrophic,25,,,,,suburb,95,10,,,,,,,
12653_20100604,6682.899902,354.0599976,2.5,oligotrophic,80,,60,,40,suburb,75,5,19,100,55,,Num of Trees within 50 ft,m,
12653_20100722,7051.299805,354.0549927,2.5,mesotrophic,70,10,70,,20,suburb,80,10,26,100,60,,Num of Trees within 50 ft,m,
12653_20100817,6420.100098,321.8688049,2,mesotrophic,70,15,70,,15,suburb,75,10,19,120,70,,Num of Trees within 50 ft,m,
12653_20110602,6214,338,,eutrophic,80,0,100,,,suburb,95,0,18,70,40,"open water 95%, 5% typha",Num of Trees within 50 ft,m,
12653_20110713,6476,,1.100000024,mesotrophic,80,20,80,,,suburb,90,5,10,40,15,near suburb and highway,Num of Trees within 50 ft,m,
12658_20070605,2984,,,mesotrophic,100,,,,,Unknown,,10,,,,20 M diamter,,,
12658_20100604,3543,305.7799988,1.5,oligotrophic,100,75,25,,0,recr,85,5,4,30,40,,Num of Trees within 50 ft,m,
12658_20100722,3253.899902,0.140000001,2,mesotrophic,100,40,45,,0,suburb,80,3,5,80,50,225.308,Num of Trees within 50 ft,m,
12658_20100817,2949.399902,209.2147217,2,mesotrophic,100,60,30,,10,suburb,80,2,9,90,50,,Num of Trees within 50 ft,m,
12658_20110811,445,138,0.300000012,eutrophic,50,,70,,30,suburb,80,0,4,10,8,,Num of Trees within 50 ft,m,
12678_20070612,858,26,1,mesotrophic,60,,,,60,ag,20,0,0,,,"temporary, orig.: ???, berm, natural habitat. Looks fenced off and isolated",,,
12678_20070625,364,93,,mesotrophic,0,,,100,,,40,0,0,20,10,,Num trees within 50 m,m,
12678_20100621,969,159.4100037,1,mesotrophic,100,95,5,,0,graze,60,0,0,40,20,,Num of Trees within 50 ft,m,
12678_20100722,1395.400024,305.7749939,1,mesotrophic,100,40,30,,30,graze,40,0,0,40,20,,Num of Trees within 50 ft,m,
12678_20100817,312.7999878,103.3300018,1,mesotrophic,100,80,10,,10,graze,80,0,0,30,20,,Num of Trees within 50 ft,m,
12678_20110629,364,10,,mesotrophic,0,,,,100,graze,40,0,0,20,10,,Num of Trees within 50 ft,m,
12678_20110725,,,0.300000012,eutrophic,,,,,,,,,,,,,Num of Trees within 50 ft,,
12688_20080612,1605,,1,,100,80,15,,,grassland,80,,0,15,,Natural grassland,Num of Trees in 100 m radius,m,
12765_20070607,,,,mesotrophic,90,,,,,suburb,95,12,25,,,,Num trees within 50 m,,
12770_20090714,74,,0.600000024,mesotrophic,100,100,0,,,grass,98,0,1,4,5,,Num of Trees in 100 m radius,m,
12770_20090803,660,,0.600000024,mesotrophic,,10,0,,,grassland,80,,0,8,10,,Num of Trees in 100 m radius,m,
12770_20110624,,,0.304800004,mesotrophic,100,70,0,,30,graze,80,0,2,5,3,Water levels could be low because banks are high,Num of Trees within 50 ft,m,
12770_20110718,20,35,0.25,mesotrophic,20,50,50,,0,graze,100,0,0,8,4,,Num of Trees within 50 ft,m,
12776_20070531,,,2,,50,,,,,recr,,5,,5,,Open space area. 15 trees within 50 m.,,m,
12776_20080514,,,,,,,,,,graze,,0,6,,,,Num of Trees in 100 m radius,,
12776_20090518,1196,,3,mesotrophic,50,10,3,,,,95,,4,20,,,Num of Trees in 100 m radius,m,
12776_20090701,1237,,,mesotrophic,70,85,15,,,other,90,,4,40,25,OSMP,Num of Trees in 100 m radius,m,
12776_20090811,,,1,mesotrophic,10,5,5,,,recr,98,8,4,20,25,,Num of Trees in 100 m radius,m,
12776_20100609,1248.400024,159.3999939,2,mesotrophic,100,,5,,95,recr/graze,95,,4,30,40,,Num of Trees within 50 ft,m,
12776_20100712,868.2999878,143.8656006,1.5,oligotrophic,95,40,5,,55,recr,90,5,4,60,40,,Num of Trees within 50 ft,m,
12776_20100802,551.0999756,114.9100037,1,mesotrophic,60,80,10,,10,recr/graze,95,5,5,30,20,,Num of Trees within 50 ft,m,
127848_20070525,,,,eutrophic,95,,,,,suburb,85,1,,30,,"""40 trees >= 3m w/in 500m radius"". Mean diam is 30m. 60% covered in duckweed.",,m,
127848_20090521,2083,,2,mesotrophic,90,0,90,,,suburb,95,,20,30,30,,Num of Trees in 100 m radius,m,
127848_20100604,1670.199951,193.1199951,1.299999952,eutrophic,95,,95,,5,suburb,70,5,25,30,30,large amount of trash and water-runoff from apt complex = algal blooms,Num of Trees within 50 ft,m,
127848_20110706,,,4,eutrophic,95,,100,,,suburb,90,1,4,25,20,Next to residential areas,Num of Trees within 50 ft,m,
127848_20110804,,,1.299999952,mesotrophic,100,0,80,,20,urban,100,3,2,90,40,,Num of Trees within 50 ft,m,
12820_20070531,,,,,50,,,,,ag,80,,60,30,30,Tree Method= # trees in 50m radius. Open Space hiking trails,Num trees within 50 m,m,
12820_20100610,2350.300049,289.6799927,2.5,mesotrophic,100,10,60,,30,refuge,90,,27,40,40,,Num of Trees within 50 ft,m,
12914_20070621,2288,,0.5,mesotrophic,96,,100,,,refuge,90,,8,30,12,Land Usage= Rocky Flats,Num trees within 50 m,m,
12939_20050514,896,,,mesotrophic,0,,,,,grassland,100,0,,,,,,,
12939_20070627,,,1.299999952,mesotrophic,86,85,1,,,recr,95,0,,15,25,land usage also grazing- OSMP. 8 trees within 50m.,,m,
12939_20080603,,,3,mesotrophic,,,,,,graze,,,3,25,50,,Num of Trees in 100 m radius,m,
12939_20080630,,,,mesotrophic,0,0,0,,,urban,100,,,,,,,,
12939_20080722,,,,,50,0,0,,,graze,100,0,7,15,,,Num of Trees in 100 m radius,m,
12939_20080811,,,0.100000001,mesotrophic,0,,,,,graze,100,,2,15,10,,Num of Trees in 100 m radius,m,
12939_20090519,1161,,1,mesotrophic,25,100,,,,ag,99,,6,10,20,,Num of Trees in 100 m radius,m,
12939_20090811,,,0.5,mesotrophic,,0,0,,,grass,100,,1,10,8,,Num of Trees in 100 m radius,m,
12939_20100602,1187.300049,143.2599945,1.700000048,mesotrophic,100,50,0,,50,recr,80,4,4,25,30,large amounts of algae concentrated (W & SW side)trash found along shoreline/h2o,Num of Trees within 50 ft,m,
12939_20100628,1261.98999,446,1.5,mesotrophic,65,80,5,,15,recr,95,0,3,50,30,,Num of Trees within 50 ft,m,
12939_20100726,567.2999878,96.01200104,0.400000006,mesotrophic,0,0,0,,0,recr/graze,100,0,3,40,20,There is no shoreline vegetation due to the low water level,Num of Trees within 50 ft,m,
12939_20110613,608.5,,0.5,eutrophic,30,40,0,,60,graze,100,0,0,10,8,"lots of cow patties, cattle footprints. Very shallow. Algal crust on soil perim.",Num of Trees within 50 ft,m,
12958_20070627,,,1.100000024,mesotrophic,78,70,8,,,recr/graze,80,3,0,15,6,"Pleasant pond, high density helisoma. Could be plains leopard instead of RAPI.",Distance to Treeline (ft),m,
12958_20090520,230,,0.5,mesotrophic,70,60,10,,,refuge,97,,8,12,18,,Num of Trees in 100 m radius,m,
12958_20090701,331,,0.600000024,,40,0,30,,,grassland,60,,5,25,15,,Num of Trees in 100 m radius,m,
12958_20100602,861.3181152,160.3240051,0.5,mesotrophic,20,75,15,0,10,recr,80,5,0,5,15,,Num of Trees within 50 ft,m,
12958_20100628,204.1000061,72.54239655,0.5,mesotrophic,70,70,20,,10,refuge,10,10,0,30,15,"Site is close to dry, depth much lower than initial visit",Num of Trees within 50 ft,m,N
12958_20100726,238.6999969,72.23760223,0,,100,0,20,,80,refuge,0,0,0,20,10,"The site is Dry, all measurements are based on the shoreline position",Num of Trees within 50 ft,m,Y
12968_20070726,1011,,,mesotrophic,15,,,,,mountain pond,,2,200,18,14,,Num trees within 50 m,m,
12981_20070711,529,,,mesotrophic,30,,,,100,refuge/rec,,6,300,28,10,"lots of small fish. 1 gambusia. No submerged veg, no amphib habitat. Stocked?",Distance to Treeline (ft),m,
12983_20070711,,,0.300000012,mesotrophic,35,,,,,recr/refuge,,8,300,13,7,,Distance to Treeline (m),m,
13486_20070719,1463,,,mesotrophic,100,,,,100,refuge,80,1,200,18,16,,Num trees within 50 m,m,
13493_20070719,467,,0.300000012,mesotrophic,100,,,,100,refuge,80,,300,10,5,,Num trees within 50 m,m,
1553_20100723,7410,386.2420044,2,mesotrophic,100,10,0,,90,suburb,100,10,12,120,40,,Num of Trees within 50 ft,m,
